id,target,comment,label,language,dataset,transformation
41405,Êtes-vous en faveur de l'abaissement de l'âge de vote à 16 ans?,Les grèves du climat ont montré que les jeunes ont besoin de s'exprimer sur l'avenir qui sera majoritairement le leur!,FAVOR,fr,X-Stance, Les grèves du climat ont montré que les jeunes ont d'autres moyens de s'exprimer sur l'avenir qui sera majoritairement le leur! 
145346,La consommation de cannabis devrait-elle être légalisée?,Je ne soutiens pas la consommation mais soutiens la légalisation. Cela permet de mieux encadrer et sensibiliser ainsi que d'internaliser les coûts externes pour la santé générés par les consommateurs.,FAVOR,fr,X-Stance,Je soutiens  la consommation mais je ne soutiens pas la légalisation. Cela ne permet pas de mieux encadrer et sensibiliser ni d'internaliser les coûts externes pour la santé générés par les consommateurs. 
36253,Êtes-vous en faveur d'un contrôle plus strict de l'égalité des salaires entre hommes et femmes?,"La discrimination positive n’est pas la solution aux inégalités, elle l’accentue",AGAINST,fr,X-Stance,"La discrimination positive est la solution aux inégalités, elle les atténue."
28155,Une initiative demande que les règles de responsabilité des entreprises suisses en matière de respect des droits humains et des normes environnementales à l'étranger soient renforcées. Soutenez-vous cette proposition?,Cependant leur application ne doit pas ressembler à aucune forme «d'ingérence » de la part de la Suisse dans les pays concernés,FAVOR,fr,X-Stance,"En effet, leur application ressemble à une forme «d'ingérence » de la part de la Suisse dans les pays concernés "
41726,Le financement des partis ainsi que celui des campagnes pour les élections et les votations devrait-il être transparent?,Il s'agit de démocratie basique. Il faudrait aussi plafonner les montants maximum pour les campagnes afin de ne pas défavoriser des partis avec peu de ressources.,FAVOR,fr,X-Stance," S'agissant de démocratie, restons basiques. Il ne faudrait pas non plus plafonner les montants maximum pour les campagnes afin de ne pas favoriser des partis avec peu de ressources. "
26658,"Une vaccination obligatoire des enfants, basée sur le plan de vaccination suisse, devrait-elle être instaurée?",Si la vaccination obligatoire permet de prévenir des pandémies c'est une bonne option. Toutefois attention à ne pas définir des vaccins obligatoires pour enrichir les industries pharmaceutiques. Les vaccins obligatoires doivent répondre à un besoin de santé publique.,FAVOR,fr,X-Stance,"La vaccination obligatoire ne permet pas de prévenir des pandémies c'est une mauvaise option. De plus attention, définir des vaccins obligatoires conduit à enrichir les industries pharmaceutiques. Les vaccins obligatoires doivent répondre à un besoin de santé publique. "
36467,L'introduction du vote électronique lors des votations et des élections (E-Voting) devrait-elle être poursuivie?,"Sur le principe, je suis favorable au vote électronique et à la simplification de la participation démocratique. Cependant, l'introduction définitive du vote électronique n'est possible que si celui-ci est suffisamment sécurisé et réalisé avec un système uniquement gouvernemental. A cet égard, la suspension du modèle développé par La Poste en partenariat avec l'opérateur espagnol Scytl est une bonne chose.",AGAINST,fr,X-Stance,"Sur le principe, je suis favorable au vote électronique et à la simplification de la participation démocratique. L'introduction définitive du vote électronique est possible car celui-ci est suffisamment sécurisé et réalisé avec un système uniquement gouvernemental. A cet égard, la suspension du modèle développé par La Poste en partenariat avec l'opérateur espagnol Scytl est une bonne chose. "
42100,Une initiative souhaite donner à la Confédération plus de compétences pour prendre des mesures permettant la diminution des coûts de la santé (introduction d'un frein aux coûts). Êtes-vous en faveur de cette proposition?,"Actuellement de nombreux actes sont réalisés à double : il y a des pistes d'économies dans ce domaine. 
En revanche, la qualité et la sécurité des soins ne doivent pas être remis en cause.",AGAINST,fr,X-Stance," Actuellement de nombreux actes sont réalisés à double : il y a des pistes d'économies dans ce domaine. En plus, la qualité et la sécurité des soins ne seront pas remis en cause. "
143670,La Confédération devrait-elle soutenir davantage les énergies renouvelables?,Par une meilleure affectation de la taxe sur le CO2,FAVOR,fr,X-Stance, Il faudrait plutôt supprimer la taxe sur le CO2 
25522,La Confédération devrait-elle encourager davantage la construction de logements d'utilité publique?,"Pour une grande partie de la population salariée, c'est devenu un casse-tête, surtout avec une famille, de trouver un logement adéquat (surface, transports publics, équipement scolaire et parascolaire, terrains de jeu à proximité).",FAVOR,fr,X-Stance," Pour une grande partie de la population salariée, ce n'est pas difficile, même avec une famille, de trouver un logement adéquat (surface, transports publics, équipement scolaire et parascolaire, terrains de jeu à proximité). "
114856,L'acquisition d'une propriété d'habitation habitée par le propriétaire lui-même doit-elle être encouragée de manière plus importante grâce à des déductions d'impôts pour l'épargne logement?,Cela semble une bonne solution dans la mesure où le financement de l'immobilier en Suisse se base fortement sur l'épargne personnelle. 20% de fonds propres sont exigés! Ce serait bien que la constitution de cette épargne soit privilégiée fiscalement.,FAVOR,fr,X-Stance, Cela peut sembler une bonne solution dans la mesure où le financement de l'immobilier en Suisse se base fortement sur l'épargne personnelle. Mais seulement 20% de fonds propres sont exigés! Ce n'est pas utile que la constitution de cette épargne soit privilégiée fiscalement. 
88125,"Les traitements médicaux par méthodes complémentaires (alternative) doivent-ils continuer à être pris en charge, après 2017, par l’assurance maladie obligatoire (LAMal)?","S'il y a preuve que ceux qui utilisent ces méthodes diminuent les frais de la médecine traditionelle, pourquoi-pas?",FAVOR,fr,X-Stance," Il y n'a aucune preuve que ceux qui utilisent ces méthodes diminuent les frais de la médecine traditionelle, alors certainement-pas. "
