id,target,comment,label,language,dataset,transformation,translation,rtt,batch,acceptable,suggestion
143582,Êtes-vous en faveur de l'abaissement de l'âge de vote à 16 ans?,"Avant d'octroyer le droit de vote, il faudrait donner une vraie éducation citoyenne aux jeunes.",AGAINST,fr,X-Stance,"Avant d'octroyer le droit de vote à 16 ans, il faudrait donner une vraie éducation citoyenne aux adultes.",Vor der Gewährung des Wahlrechts für 16-Jährige sollte man Erwachsenen eine echte staatsbürgerliche Bildung geben.,"Avant d'accorder le droit de vote aux 16 ans, il faudrait donner aux adultes une véritable éducation civique.",3,No,"Le droit de vote serait pertinent, car les jeunes reçoivent une vraie éducation citoyenne."
45735,Le moratoire actuel sur les plantes et les animaux génétiquement modifiés devrait-il être prolongé au-delà de 2021?,"Les OGM en tant que tels ne sont pas dangereux pour la santé, il faut par contre pouvoir en contrôler l'utilisation.",AGAINST,fr,X-Stance,"Les OGM en tant que tels sont dangereux pour la santé, il faut donc les interdire.","Die GVO als solche sind für die Gesundheit gefährlich, daher müssen sie verboten werden.","Les OGM en tant que tels sont dangereux pour la santé, c'est pourquoi ils doivent être interdits.",3,Yes,
52197,Le moratoire actuel sur les plantes et les animaux génétiquement modifiés devrait-il être prolongé au-delà de 2021?,Les expertises sur les OGM n'ont été réalisées pour l'essentiel que par les entreprises qui les fabriquent. Juges et parties. C'est un non sens total.,FAVOR,fr,X-Stance,"Les expertises sur les OGM ont été réalisées pour l'essentiel par les experts indépendants, juges et parties prenantes.","Die GVO-Experten wurden im Wesentlichen von unabhängigen Experten, Richtern und Interessengruppen durchgeführt.","Les experts en OGM ont été essentiellement réalisés par des experts indépendants, des juges et des groupes d'intérêts.",3,No, Les expertises sur les OGM ont été réalisées pour l'essentiel par des experts indépendants. Ce qui fait sens.
45501,L'introduction du vote électronique lors des votations et des élections (E-Voting) devrait-elle être poursuivie?,"Les fraudes électorales sont connues et avérées, hélas même en Suisse. Entre ""Landsgemeinde"" et ""Blockchain"", il faut renforcer la transparence et la sécurité des votes.",AGAINST,fr,X-Stance,"Les fraudes électorales ne sont pas connues et avérées, hélas même en Suisse. Entre ""Landsgemeinde"" et ""Blockchain"", il faut abandonner la transparence et la sécurité des votes.","Die Wahlbetrügereien sind nicht bekannt und erwiesen, leider auch in der Schweiz. Zwischen ""Landsgemeinde"" und ""Blockchain"" muss die Transparenz und Sicherheit der Abstimmungen aufgegeben werden.","Les fraudes électorales ne sont pas connues et ont été prouvées, malheureusement également en Suisse. Entre ""Landsgemeinde"" et ""Blockchain"", la transparence et la sécurité des votes doivent être abandonnées.",3,No,"Les fraudes électorales ne sont pas avérées, et ce pas qu'en Suisse. Malgré ""Landsgemeinde"" et ""Blockchain"", il n'est pas nécessaire de renforcer la transparence et la sécurité des votes."
114716,L'assurance invalidité n'attribue plus de rentes de l'AI en cas de troubles douloureux non décelables de manière objective (p. ex. après avoir subi un « coup du lapin »). Pensez-vous que cela soit justifié?,Accepter de délivrer une rente sur les seuls dires de la personne touchée autorise tous les abus.,FAVOR,fr,X-Stance,Accepter de délivrer une rente sur les seuls dires de la personne touchée justifie tous les abus.,"Akzeptieren, eine Rente nur aufgrund der Aussagen des Betroffenen zu gewähren, rechtfertigt alle Missbräuche.",Accepter de verser une rente uniquement sur la base des déclarations de la personne concernée justifie tous les abus.,3,No, Accepter de délivrer une rente sur les seuls dires de la personne touchée n'autorise pas tous les abus. 
25488,La Confédération devrait-elle accroître son soutien financier à la formation continue et à la reconversion professionnelle?,Il est déjà possible de déduire ces diverses formations des impôts.,AGAINST,fr,X-Stance,La Confédération devrait-elle réduire son soutien financier à la formation continue et à la reconversion professionnelle.,Die Eidgenossenschaft sollte ihre finanzielle Unterstützung für Weiterbildung und berufliche Umschulung reduzieren.,La Confédération devrait réduire son soutien financier à la formation continue et à la réorientation professionnelle.,3,No, Il n'est pas possible de déduire ces diverses formations des impôts seuls. 
41200,"Selon vous, la baisse des impôts au niveau fédéral représente-elle une priorité pour les quatre prochaines années?",Il y a des domaines où un effort doit être effectué par exemple un couple qui désire se marier ne doit pas payer plus d'impôts qu'avant le mariage. Où trouver les finances manquantes : Évitons le gaspillage.,FAVOR,fr,X-Stance,"Selon moi, l'augmentation des impôts au niveau fédéral est une priorité pour les quatre prochaines années.",Meiner Meinung nach ist die Erhöhung der Steuern auf Bundesebene eine Priorität für die nächsten vier Jahre.,Je pense que l'augmentation des impôts au niveau fédéral est une priorité pour les quatre prochaines années.,3,No,Il n'y a pas d'effort à effectuer dans ce domaine.
51171,Une initiative souhaite donner à la Confédération plus de compétences pour prendre des mesures permettant la diminution des coûts de la santé (introduction d'un frein aux coûts). Êtes-vous en faveur de cette proposition?,"La santé ne coutera pas moins cher, au contraire. Les cantons et la Confédération doivent consentir à un invesstissement, en particulier dans les domaines de la prévention, actuellement à la seule charge de l'initiative privée et dans les soins ambulatoires, actuellement entièrement pris en charge par les primes.",FAVOR,fr,X-Stance,"La santé coûtera certainement plus cher, au contraire. Les cantons et la Confédération doivent refuser d'investir, en particulier dans les domaines de la prévention et des soins ambulatoires, actuellement à la charge de l'initiative privée et des primes.","Die Gesundheit wird auf jeden Fall teurer, im Gegenteil. Die Kantone und die Eidgenossenschaft müssen ablehnen, in den Bereichen Prävention und ambulante Pflege zu investieren, die derzeit von der privaten Initiative und den Prämien getragen werden.","La santé coûtera forcément plus cher, au contraire. Les cantons et la Confédération doivent refuser d'investir dans les domaines de la prévention et de l'aide ambulatoire, qui sont actuellement financés par l'initiative privée et les primes.",3,No,"La santé ne coutera pas plus cher. Il n'est pas primordial que les cantons et la Confédération consentissent à un invesstissement, en particulier dans les domaines de la prévention, déjà à la charge de l'initiative privée et dans les soins ambulatoires, actuellement pris en charge par les primes. "
18339,Les personnes assurées devraient-elles contribuer davantage aux coûts de la santé (p. ex. en augmentant la franchise minimale)?,Le parlement vient de refuser une augmentation de la franchise minimale puisqu'elle pose déjà des problèmes à un certain nombre de ménages. Mais l'effet de seuil (surconsommation dès que la franchise est atteinte) du système actuel est insatisfaisant.,AGAINST,fr,X-Stance,Les personnes assurées devraient-elles contribuer moins aux coûts de la santé (p. ex. en diminuant la franchise minimale)?,Sollten versicherte Personen weniger zur Gesundheitsausgaben beitragen (z. B. durch eine Senkung der Mindestprämie)?,"Les personnes assurées devraient-elles contribuer moins aux dépenses de santé (par exemple, en réduisant la prime minimale)?",3,No,Le parlement vient d'accepter une augmentation de la franchise minimale puisqu'elle ne pose aucun problème aux ménages. Et l'effet de seuil (surconsommation dès que la franchise est atteinte) du système actuel est satisfaisant. 
23683,Les personnes assurées devraient-elles contribuer davantage aux coûts de la santé (p. ex. en augmentant la franchise minimale)?,"cela ne sert à rien car ne fait pas baisser les coûts de la santé mais les déplace. Il faut baisser les coûts par exemple en diminuant le catalogue de base ou bien en limitant l'utilisation des moyens technologiques ou encore en limitant l'accès directe aux spécialistes.
Concernant les caisses, il me semble que la création d'une caisse maladie fédérale pour les maladies incurables et les maladies orphelines serait une bonne chose.",AGAINST,fr,X-Stance,"Les personnes assurées devraient-elles contribuer moins aux coûts de la santé (p. ex. en diminuant la franchise minimale) car cela baisserait les coûts de la santé et les réduirait. Il faut augmenter les coûts par exemple en élargissant le catalogue de base ou en augmentant l'utilisation des moyens technologiques ou encore en augmentant l'accès direct à des spécialistes.

Concernant les caisses, il me semble que la suppression d'une caisse maladie fédérale pour les maladies incurables et les maladies orphelines serait une mauvaise chose.","Menschen, die versichert sind, sollten möglicherweise weniger zur Gesundheitsausgaben beitragen (z. B. durch eine Senkung der Mindestprämie) da dies die Gesundheitsausgaben senken und reduzieren würde. Man muss die Kosten erhöhen, z. B. indem man den Basis-Katalog erweitert oder die Nutzung von technologischen Mitteln erhöht oder indem man den direkten Zugang zu Fachärzten erhöht.

Bezüglich der Kassen scheint es mir, dass die Schließung einer staatlichen Krankenkasse für unheilbare und elterliche Krankheiten eine schlechte Sache wäre.","Les personnes assurées devraient peut-être contribuer moins aux dépenses de santé (par exemple en réduisant la prime minimale) car cela réduirait et réduirait les dépenses de santé. Il faut augmenter les coûts, par exemple en élargissant le catalogue de base ou en augmentant l'utilisation de moyens technologiques ou en augmentant l'accès direct aux médecins spécialistes.

En ce qui concerne les caisses, je pense que la fermeture d'une caisse d'assurance maladie publique pour des maladies incurables et parentales serait une mauvaise chose.",3,No,"cela servirait à baisser les coûts de la santé. Plutôt que de, par exemple, diminuer le catalogue de base ou bien limiter l'utilisation des moyens technologiques ou encore limiter l'accès direct aux spécialistes. Concernant les caisses, il me semble que la création d'une caisse maladie fédérale pour les maladies incurables et les maladies orphelines ne serait pas une bonne chose. "
