id,target,comment,label,language,dataset,transformation,translation,rtt,acceptable,suggestion,easy
41405,Êtes-vous en faveur de l'abaissement de l'âge de vote à 16 ans?,Les grèves du climat ont montré que les jeunes ont besoin de s'exprimer sur l'avenir qui sera majoritairement le leur!,FAVOR,fr,X-Stance,Je suis contre l'abaissement de l'âge de vote à 16 ans.,Ich bin gegen die Senkung des Wahlalters auf 16 Jahre.,Je suis contre la réduction de l'âge de vote à 16 ans.,No, Les grèves du climat ont montré que les jeunes ont d'autres moyens de s'exprimer sur l'avenir qui sera majoritairement le leur! ,No
145346,La consommation de cannabis devrait-elle être légalisée?,Je ne soutiens pas la consommation mais soutiens la légalisation. Cela permet de mieux encadrer et sensibiliser ainsi que d'internaliser les coûts externes pour la santé générés par les consommateurs.,FAVOR,fr,X-Stance,La consommation de cannabis devrait-elle être illégalisée.,Die Verwendung von Cannabis sollte legalisiert werden.,L'utilisation de la marijuana devrait être légalisée.,No,Je soutiens  la consommation mais je ne soutiens pas la légalisation. Cela ne permet pas de mieux encadrer et sensibiliser ni d'internaliser les coûts externes pour la santé générés par les consommateurs. ,Yes
36253,Êtes-vous en faveur d'un contrôle plus strict de l'égalité des salaires entre hommes et femmes?,"La discrimination positive n’est pas la solution aux inégalités, elle l’accentue",AGAINST,fr,X-Stance,"La discrimination positive est la solution aux inégalités, elle les atténue.","Die positive Diskriminierung ist die Lösung für Ungleichheiten, sie mildert sie ab.","La discrimination positive est la solution aux inégalités, elle les atténue.",Yes,,
28155,Une initiative demande que les règles de responsabilité des entreprises suisses en matière de respect des droits humains et des normes environnementales à l'étranger soient renforcées. Soutenez-vous cette proposition?,Cependant leur application ne doit pas ressembler à aucune forme «d'ingérence » de la part de la Suisse dans les pays concernés,FAVOR,fr,X-Stance,L'application des règles de responsabilité des entreprises suisses en matière de respect des droits humains et des normes environnementales à l'étranger devrait ressembler à une forme d'ingérence de la part de la Suisse dans les pays concernés.,Die Anwendung der Verantwortlichkeitsregeln der Schweizer Unternehmen in Bezug auf die Einhaltung der Menschenrechte und Umweltstandards im Ausland sollte einer Form von Einmischung der Schweiz in die betroffenen Länder ähneln.,L'application des règles de responsabilité des entreprises suisses en ce qui concerne le respect des droits de l'homme et des normes environnementales à l'étranger devrait ressembler à une forme d'ingérence de la Suisse dans les pays concernés.,No,"En effet, leur application ressemble à une forme «d'ingérence » de la part de la Suisse dans les pays concernés ",Yes
36247,Approuveriez-vous le principe du consentement présumé pour le don d’organes?,"L’etat n’a pas à contrôler le corps des individus, l’individu est libre de son corps et de faire les démarches pour faire les dons. Mais de base, ce n’est pas à l’état d’imposer aux individus comment doit être utilisé leur corps.",AGAINST,fr,X-Stance,"L'état doit contrôler le corps des individus, car l'individu n'est pas libre de son corps et doit suivre les directives de l'état pour faire les dons.","Der Staat muss den Körper der Individuen kontrollieren, da der Einzelne nicht frei über seinen Körper verfügen kann und die Anweisungen des Staates befolgen muss, um Spenden zu tätigen.","Le gouvernement doit contrôler le corps des individus, car l'individu ne peut pas disposer librement de son corps et doit suivre les instructions du gouvernement pour effectuer des dons.",No,"L’etat n’a pas à contrôler le corps des individus, l’individu est libre de son corps et de faire les démarches pour faire les dons. Mais de base, l’état a le devoir de suggérer aux individus comment pourrait être utilisé leur corps. ",No
17981,La Confédération devrait-elle soutenir davantage les énergies renouvelables?,Il faut que les coût des énergies nucléaire et fossile soit réel et les énergies renouvelables seront rentables.,AGAINST,fr,X-Stance,Il faut que les coûts des énergies renouvelables soient réels et que les énergies nucléaire et fossile soient rentables.,"Es muss sichergestellt werden, dass die Kosten für erneuerbare Energien realistisch sind und dass die Kernenergie und fossile Brennstoffe rentabel sind.",Il faut veiller à ce que les coûts des énergies renouvelables soient réalistes et que l'énergie nucléaire et les combustibles fossiles soient rentables.,No, Les coût des énergies nucléaire et fossile ne sont pas les coûts réels; sans soutien les énergies renouvelables ne seront pas rentables. ,No
41726,Le financement des partis ainsi que celui des campagnes pour les élections et les votations devrait-il être transparent?,Il s'agit de démocratie basique. Il faudrait aussi plafonner les montants maximum pour les campagnes afin de ne pas défavoriser des partis avec peu de ressources.,FAVOR,fr,X-Stance,Le financement des partis ainsi que celui des campagnes pour les élections et les votations ne devrait pas être transparent.,Die Finanzierung der Parteien sowie der Kampagnen für Wahlen und Abstimmungen sollte nicht transparent sein.,La financement des partis et des campagnes électorales pour les élections et les référendums ne devrait pas être transparent.,No," S'agissant de démocratie, restons basiques. Il ne faudrait pas non plus plafonner les montants maximum pour les campagnes afin de ne pas favoriser des partis avec peu de ressources. ",No
26658,"Une vaccination obligatoire des enfants, basée sur le plan de vaccination suisse, devrait-elle être instaurée?",Si la vaccination obligatoire permet de prévenir des pandémies c'est une bonne option. Toutefois attention à ne pas définir des vaccins obligatoires pour enrichir les industries pharmaceutiques. Les vaccins obligatoires doivent répondre à un besoin de santé publique.,FAVOR,fr,X-Stance,"Si la vaccination obligatoire ne permet pas de prévenir des pandémies, c'est une mauvaise option. Toutefois, il faut définir des vaccins obligatoires pour enrichir les industries pharmaceutiques. Les vaccins obligatoires ne répondent pas à un besoin de santé publique.","Wenn die obligatorische Impfung keine Pandemien verhindern kann, ist dies eine schlechte Option. Allerdings muss man obligatorische Impfungen festlegen, um die Pharmaindustrie zu bereichern. Obligatorische Impfungen entsprechen nicht einem öffentlichen Gesundheitsbedürfnis.","Si la vaccination obligatoire ne peut pas empêcher les pandémies, c'est une mauvaise option. Cependant, il faut fixer des vaccinations obligatoires pour enrichir l'industrie pharmaceutique. Les vaccinations obligatoires ne correspondent pas à un besoin de santé publique.",No,"La vaccination obligatoire ne permet pas de prévenir des pandémies c'est une mauvaise option. De plus attention, définir des vaccins obligatoires conduit à enrichir les industries pharmaceutiques. Les vaccins obligatoires doivent répondre à un besoin de santé publique. ",Yes
73977,"Seriez-vous favorable à la mise en place d’un service citoyen général obligatoire (service militaire, service civil prolongé ou engagement milicien dans la commune) pour les hommes et les femmes?",Pour autant que les besoins de l'armée continuent à primer,FAVOR,fr,X-Stance,Pour autant que les besoins des citoyens continuent à primer.,Solange die Bedürfnisse der Bürger weiterhin im Vordergrund stehen.,Tant que les besoins des citoyens demeurent au premier plan.,No, Il faut plutôt continuer à faire primer les besoins de l'armée,Yes
36467,L'introduction du vote électronique lors des votations et des élections (E-Voting) devrait-elle être poursuivie?,"Sur le principe, je suis favorable au vote électronique et à la simplification de la participation démocratique. Cependant, l'introduction définitive du vote électronique n'est possible que si celui-ci est suffisamment sécurisé et réalisé avec un système uniquement gouvernemental. A cet égard, la suspension du modèle développé par La Poste en partenariat avec l'opérateur espagnol Scytl est une bonne chose.",AGAINST,fr,X-Stance,"Sur le principe, je suis opposé au vote électronique et à la simplification de la participation démocratique. L'introduction définitive du vote électronique n'est possible que si celui-ci est insuffisamment sécurisé et réalisé avec un système non gouvernemental. A cet égard, la poursuite du modèle développé par La Poste en partenariat avec l'opérateur espagnol Scytl est une mauvaise chose.","Grundsätzlich bin ich gegen das elektronische Abstimmungsverfahren und die Vereinfachung der demokratischen Beteiligung. Die endgültige Einführung des elektronischen Abstimmungsverfahrens ist nur möglich, wenn es unzureichend gesichert ist und mit einem nicht staatlichen System durchgeführt wird. In diesem Zusammenhang ist die Fortsetzung des Modells, das von La Poste in Zusammenarbeit mit dem spanischen Unternehmen Scytl entwickelt wurde, eine schlechte Sache.","En principe, je suis contre le vote électronique et la simplification de la participation démocratique. La mise en place définitive du vote électronique est seulement possible si elle est insuffisamment sécurisée et si elle est réalisée avec un système non étatique. Dans ce contexte, la poursuite du modèle développé par La Poste en collaboration avec l'entreprise espagnole Scytl est une mauvaise chose.",No,"Sur le principe, je suis favorable au vote électronique et à la simplification de la participation démocratique. L'introduction définitive du vote électronique est possible car celui-ci est suffisamment sécurisé et réalisé avec un système uniquement gouvernemental. A cet égard, la suspension du modèle développé par La Poste en partenariat avec l'opérateur espagnol Scytl est une bonne chose. ",Yes
