id,target,comment,label,language,dataset,transformation,translation,rtt,batch
20228,Une initiative demande que les subsides aux assurances maladie soient conçus de manière à ce que personne n'ait à consacrer plus de dix pour cent de son revenu disponible au paiement des primes. Soutenez-vous cette proposition?,"Je préfère travailler sur les coûts avec des mesures concrêtes, soit au mode de financement de soins (ambulatoire et hospitalier), soit les deux. L’instauration d’indicateurs de performances capable de viser l’efficience est nécessaire au même titre qu’une transparence des coûts au niveau suisse.",AGAINST,fr,X-Stance,"Je préfère ne pas travailler sur les coûts avec des mesures concrêtes, soit au mode de financement de soins, soit les deux.","Ich bevorzuge es nicht, über Kosten mit konkreten Maßnahmen zu arbeiten, sei es im Modus der Finanzierung von Pflege oder beidem.","Je n'aime pas trop travailler sur les coûts avec des mesures concrètes, que ce soit dans le mode de financement de la prise en charge ou les deux.",5
114714,Un congé parental de 24 semaines doit-il être instauré en plus de l'assurance maternité existante?,"Si l'idée paraît séduisante au 1er abord, son financement paraît difficile à assurer à long terme.",AGAINST,fr,X-Stance,Un congé parental de 24 semaines devrait être instauré en plus de l'assurance maternité existante.,Ein Elternurlaub von 24 Wochen sollte zusätzlich zur bestehenden Mutterschaftsversicherung eingeführt werden.,Un congé parental de 24 semaines devrait être introduit en plus de l'assurance maternité existante.,5
78417,Êtes-vous favorable à la légalisation du statut des sans-papiers par un octroi collectif et unique de permis de séjour?,Cela créerait une inégalité de traitement par rapport aux migrants qui arrivent en Suisse légalement.,AGAINST,fr,X-Stance,Cela créerait une égalité de traitement par rapport aux migrants qui arrivent en Suisse légalement.,"Das würde eine Gleichbehandlung gegenüber Migranten schaffen, die in der Schweiz legal ankommen.",Cela créerait une égalité de traitement envers les migrants qui arrivent légalement en Suisse.,5
82345,Le financement des partis ainsi que celui des campagnes pour les élections et les votations devrait-il être complètement transparent?,"Il est juste que les comptes puissent être audités. Par contre, la majorité des Suisses tiennent à rester anonymes dans les causes qu'ils soutiennent.",AGAINST,fr,X-Stance,Le financement des partis ainsi que celui des campagnes pour les élections et les votations devrait être complètement opaque.,Die Finanzierung der Parteien sowie der Kampagnen für Wahlen und Abstimmungen sollte vollständig undurchsichtig sein.,La financement des partis et des campagnes électorales pour les élections et les référendums devrait être entièrement opaque.,5
81083,Une initiative populaire exige que la surface totale des zones à bâtir en Suisse soit limitée à l’état actuel. Soutenez-vous cette initiative?,Nous devons pouvoir nous adaper à la démographie de notre pays.,AGAINST,fr,X-Stance,Nous devons nous éloigner de la démographie de notre pays.,Wir müssen uns von der Bevölkerungsdynamik unseres Landes entfernen.,Nous devons nous éloigner de la dynamique démographique de notre pays.,5
74698,"Seriez-vous favorable à la mise en place d’un service citoyen général obligatoire (service militaire, service civil prolongé ou engagement milicien dans la commune) pour les hommes et les femmes?","pour autant qu'il réponde a des besoins réel, et non pour ne servir à rien",FAVOR,fr,X-Stance,"Pour autant qu'il ne réponde à aucun besoin réel, et pour servir à rien.",Solange er keinem wirklichen Bedarf entspricht und nichts nützt.,Tant qu'il ne répond pas à un véritable besoin et ne sert à rien.,5
54379,L'introduction du vote électronique lors des votations et des élections (E-Voting) devrait-elle être poursuivie?,Pas tant qu'il n'existe pas de solution 100% sûre. Une perte de confiance serait trop préjudiciable.,AGAINST,fr,X-Stance,L'introduction du vote électronique lors des votations et des élections devrait être poursuivie une fois qu'une solution 100% sûre a été trouvée.,"Die Einführung des elektronischen Votings bei Abstimmungen und Wahlen sollte fortgesetzt werden, sobald eine 100% sichere Lösung gefunden wurde.",L'introduction du vote électronique lors des élections et des référendums devrait être poursuivie dès que la solution 100 % sûre aura été trouvée.,5
84990,La naturalisation devrait-elle être facilitée aux étrangers de la troisième génération?,les étrangers nés en Suisse devraient pouvoir bénéficier d'une présomption d'intégration. Mais cette naturalisation devrait intervenir avant la 18ème année.,FAVOR,fr,X-Stance,Les étrangers nés en Suisse ne devraient pas bénéficier d'une présomption d'intégration. Mais cette naturalisation devrait intervenir après la 18ème année.,"Ausländer, die in der Schweiz geboren sind, sollten nicht von einer Annahme der Integration profitieren. Diese Einbürgerung sollte jedoch nach dem 18. Lebensjahr erfolgen.",Les étrangers nés en Suisse ne devraient pas bénéficier de l'acceptation de l'intégration. Cette naturalisation devrait toutefois avoir lieu après l'âge de 18 ans.,5
45147,Les personnes assurées devraient-elles contribuer davantage aux coûts de la santé (p. ex. en augmentant la franchise minimale)?,"Les coûts de la santé ne doivent pas augmenter. Une solution pour diminuer ces coûts serait d'empêcher certains patients d'aller toutes les deux semaines chez le médecin. 
Un médecin n'est pas un psychologue et ne devrait être consulté qu'en cas de réel problème.",AGAINST,fr,X-Stance,"Les personnes assurées devraient-elles contribuer moins aux coûts de la santé (p. ex. en diminuant la franchise minimale)? 
Une solution pour augmenter ces coûts serait d'autoriser certains patients à consulter un médecin toutes les deux semaines. 
Un médecin est un psychologue et devrait être consulté pour tout problème.","Sollten Versicherte weniger zur Gesundheitsausgaben beitragen (z. B. indem sie die Mindestprämie senken)?
Eine Lösung, um diese Kosten zu erhöhen, wäre es, einige Patienten zu erlauben, alle zwei Wochen einen Arzt aufzusuchen.
Ein Arzt ist ein Psychologe und sollte bei allen Problemen konsultiert werden.","Les assurés devraient-ils contribuer moins aux dépenses de santé (par exemple en réduisant la prime minimale)?
Une solution pour augmenter ces coûts serait de permettre à certains patients de consulter un médecin toutes les deux semaines.
Un médecin est un psychologue et devrait être consulté pour tous les problèmes.",5
25502,Une initiative souhaite donner à la Confédération plus de compétences pour prendre des mesures permettant la diminution des coûts de la santé (introduction d'un frein aux coûts). Êtes-vous en faveur de cette proposition?,"Un des moyens de diminuer les coûts de la santé est de diminué les problèmes de santé liés à la pollution de l'air, de l'eau et des tous les produits de consommations (cosmétiques et alimentaire) et de promouvoir l'alimentation saine et l'activité sportive. Les mesures nécessaires seraient, par exemple, Favoriser l'agriculture biologique de manière nationale, augmenter les moyens de mobilité durables, et encourager les entreprises à être le plus écologiques.",FAVOR,fr,X-Stance,"Un des moyens de diminuer les coûts de la santé est de promouvoir les problèmes de santé liés à la pollution de l'air, de l'eau et des tous les produits de consommations (cosmétiques et alimentaire) et de réduire l'alimentation saine et l'activité sportive. Les mesures nécessaires seraient, par exemple, Réduire l'agriculture biologique de manière nationale, diminuer les moyens de mobilité durables, et décourager les entreprises à être le moins écologiques.","Eine Möglichkeit, die Gesundheitskosten zu reduzieren, besteht darin, gesundheitliche Probleme aufgrund von Luftverschmutzung, Wasserverschmutzung und allen Konsumgütern (Kosmetik und Lebensmittel) zu fördern und gesunde Ernährung und körperliche Aktivität zu reduzieren. Die notwendigen Maßnahmen wären beispielsweise die Reduzierung der biologischen Landwirtschaft auf nationaler Ebene, die Reduzierung nachhaltiger Mobilitätsmittel und die Verhinderung von Unternehmen, die am wenigsten umweltfreundlich sind.","Une façon de réduire les coûts de santé est de promouvoir les problèmes de santé dus à la pollution de l'air, à la pollution de l'eau et à tous les biens de consommation (cosmétiques et aliments) et de réduire l'alimentation saine et l'activité physique. Les mesures nécessaires seraient par exemple la réduction de l'agriculture biologique au niveau national, la réduction des moyens de transport durables et l'interdiction des entreprises qui sont les moins respectueuses de l'environnement.",5
