id,target,comment,label,language,dataset,transformation,translation,rtt,batch
128184,L'acquisition d'une propriété d'habitation habitée par le propriétaire lui-même doit-elle être encouragée de manière plus importante grâce à des déductions d'impôts pour l'épargne logement?,"La propriété privée du logement donne une assurance que la location ne donne pas. Dans ce sens il faut toutefois privilégier l'accession à la propriété privée du logement dans des habitats groupés privilégiant l'efficacité énergétique, les énergies renouvelables et la biodiversité.",FAVOR,fr,X-Stance,L'acquisition d'une propriété d'habitation ne doit pas être encouragée de manière plus importante grâce à des déductions d'impôts pour l'épargne logement.,Die Anschaffung einer Wohnimmobilie sollte nicht durch Steuervorteile für Wohneigentum stärker gefördert werden.,L'acquisition d'une propriété résidentielle ne devrait pas être davantage encouragée par des avantages fiscaux pour l'immobilier résidentiel.,8
114732,"Le droit pénal des mineurs doit-il, à l'avenir, mettre plus de poids sur l'attribution de peines de détention plus longues dans des établissement fermés plutôt que sur des mesures de resocialisation?",Ces 2 éléments doivent être combinés en fonction des cas particuliers. Toutefois la détention doit rester une vraie alternative lorsque cela est nécessaire.,FAVOR,fr,X-Stance,"Ces 2 éléments doivent être combinés en fonction des cas particuliers. Toutefois, la resocialisation doit rester une vraie alternative lorsque cela est nécessaire.","Diese beiden Elemente müssen je nach Einzelfall kombiniert werden. Allerdings muss die Resozialisierung immer eine echte Alternative sein, wenn dies erforderlich ist.","Ces deux éléments doivent être combinés en fonction du cas individuel. Cependant, la réinsertion sociale doit toujours être une véritable alternative, si nécessaire.",8
143552,Êtes-vous en faveur de l'abaissement de l'âge de vote à 16 ans?,Je ne suis pas en faveur d'un décalage entre la majorité civile et la majorité politique.,AGAINST,fr,X-Stance,Je suis contre un décalage entre la majorité civile et la majorité politique.,Ich bin gegen eine Diskrepanz zwischen der Zivilmehrheit und der politischen Mehrheit.,Je suis contre un écart entre la majorité civile et la majorité politique.,8
76160,Est-il nécessaire de fermer davantage d’hôpitaux en Suisse pour réduire les coûts de la santé?,La réduction des coûts de santé doit passer par une meilleure hygiène de vie chez certains groupes de personnes.,AGAINST,fr,X-Stance,La réduction des coûts de santé ne doit pas passer par une meilleure hygiène de vie chez certains groupes de personnes.,Die Senkung der Gesundheitskosten darf nicht durch eine bessere Lebensweise bei bestimmten Personengruppen erreicht werden.,La réduction des coûts de santé ne doit pas être atteinte par une meilleure hygiène de vie chez certaines catégories de personnes.,8
121800,Le Conseil fédéral veut introduire des réglementations renforcées  (par ex. prescriptions relatives aux fonds propres) outrepassant les directives internationales courantes concernant le fonctionnement des grandes banques (problématique du too big to fail). Soutenez-vous cela?,"En revanche, la Confédération ne devrait pas intervenir pour sauver des entreprises au bord de la faillite.",AGAINST,fr,X-Stance,"En revanche, la Confédération devrait intervenir pour sauver des entreprises au bord de la faillite.","Andererseits sollte die Eidgenossenschaft eingreifen, um Unternehmen, die am Rande des Bankrotts stehen, zu retten.","D'autre part, la Confédération devrait intervenir pour sauver les entreprises qui sont au bord de la faillite.",8
17883,L'introduction du vote électronique lors des votations et des élections (E-Voting) devrait-elle être poursuivie?,Si les banques sont relativement sûre pourquoi pas un système de vote. C'est une question de volonté.,FAVOR,fr,X-Stance,"Si les banques sont vulnérables, pourquoi pas un système de vote. C'est une question de volonté.","Wenn die Banken anfällig sind, warum dann nicht ein Abstimmungsverfahren? Das ist eine Frage der Willenskraft.","Si les banques sont vulnérables, pourquoi ne pas instaurer un processus de vote? C'est une question de volonté.",8
89092,Êtes-vous favorable à l’adaptation des directives de l’aide sociale qui prévoit une réduction des prestations pour les familles nombreuses et les jeunes adultes?,"Réduire les prestations en cours de route, pour les familles qui ont déjà plusieurs enfants, ne me paraît pas correct. Si les règles doivent être durcies, qu'elles le soient pour les familles à venir. 
Concernant la prise en charge des jeunes, il faut valoriser le fait d'avoir un travail : c'est une condition indispensable pour trouver sa place dans la société et être un citoyen libre et responsable.",AGAINST,fr,X-Stance,"Vous n'êtes pas favorable à l'adaptation des directives de l'aide sociale qui prévoient une réduction des prestations pour les familles nombreuses et les jeunes adultes.
Réduire les prestations en cours de route, pour les familles qui ont déjà plusieurs enfants, me semble correct. Si les règles doivent être durcies, elles le devraient pour les familles à venir.
Concernant la prise en charge des jeunes, il faut dévaloriser le fait d'avoir un travail : c'est une condition inutile pour trouver sa place dans la société et être un citoyen libre et responsable.","Sie sind nicht für die Anpassung der Sozialhilfebestimmungen, die eine Reduzierung der Leistungen für große Familien und junge Erwachsene vorsehen.
Eine Reduzierung der laufenden Leistungen für Familien, die bereits mehrere Kinder haben, erscheint mir angemessen. Wenn die Regeln verschärft werden sollen, sollten sie es auch für zukünftige Familien sein.
Was die Betreuung von Jugendlichen betrifft, muss die Tatsache, einen Job zu haben, vernachlässigt werden: Dies ist eine unnötige Bedingung, um einen Platz in der Gesellschaft zu finden und ein freier und verantwortlicher Bürger zu sein.","Vous n'êtes pas en faveur de l'adaptation des règles de l'aide sociale, qui prévoient une réduction des prestations pour les familles nombreuses et les jeunes adultes.
Une réduction des prestations en cours pour les familles qui ont déjà plusieurs enfants me semble appropriée. Si l'on veut durcir les règles, il faudrait également le faire pour les familles futures.
En ce qui concerne la prise en charge des jeunes, il faut négliger le fait d'avoir un emploi : c'est une condition inutile pour trouver un poste dans la société et être un citoyen libre et responsable.",8
36646,Une initiative souhaite donner à la Confédération plus de compétences pour prendre des mesures permettant la diminution des coûts de la santé (introduction d'un frein aux coûts). Êtes-vous en faveur de cette proposition?,Cette idée est bonne. Mais je veux connaître les mesures que la Confédération pourrait prendre avant de la soutenir.,AGAINST,fr,X-Stance,Cette idée est mauvaise.,Diese Idee ist schlecht.,Cette idée est mauvaise.,8
75428,"À votre avis, l’application rigoureuse de l’initiative sur l’immigration de masse doit-elle avoir la priorité sur le maintien des accords bilatéraux conclus avec l’UE?",Cette initiative est un réaction émotionnelle basée sur des sentiments non-fondés afin d'en cacher le racisme intrinsèque d'une telle démarche.,AGAINST,fr,X-Stance,"À mon avis, le maintien des accords bilatéraux conclus avec l’UE doit avoir la priorité sur l’application rigoureuse de l’initiative sur l’immigration de masse.",Meiner Meinung nach muss die Aufrechterhaltung der bilateralen Abkommen mit der EU Vorrang vor der strikten Umsetzung der Initiative zur Masseneinwanderung haben.,"A mon avis, la préservation des accords bilatéraux avec l'UE doit avoir la priorité sur la mise en œuvre stricte de l'initiative concernant l'immigration massive.",8
81270,Une deuxième langue nationale devrait-elle être enseignée à l’école primaire dans tous les cantons?,"La capacité à communiquer avec nos concitoyens est le ciment de notre société et doit être encourager. 

C'est une richesse culturelle qu'il faut soutenir.",FAVOR,fr,X-Stance,Une deuxième langue nationale ne doit pas être enseignée à l’école primaire dans tous les cantons.,Eine zweite nationale Sprache darf nicht in allen Kantonen in der Primarschule unterrichtet werden.,Une deuxième langue nationale ne doit pas être enseignée dans toutes les communes de l'école primaire.,8
