id,target,comment,label,language,dataset,transformation,translation,rtt,batch
41300,L'État devrait-il renforcer son soutien financier à la création de structures d'accueil extra-familial?,"Les familles qui gardent eux-mêmes leurs enfants doivent être récompensées par des déductions fiscales et ce modèle doit être privilégié, mais on doit aussi aider celles qui n'ont guère d'autres choix que les accueils extra-familiaux.",FAVOR,fr,X-Stance,"Les familles qui ne gardent pas eux-mêmes leurs enfants ne devraient pas être récompensées par des déductions fiscales et ce modèle doit être privilégié, mais on doit aussi abandonner celles qui n'ont guère d'autres choix que les accueils extra-familiaux.","Familien, die ihre eigenen Kinder nicht selbst betreuen, sollten keine steuerlichen Abzüge erhalten und dieser Ansatz sollte bevorzugt werden, aber auch jene, die kaum andere Wahl haben als außereheliche Betreuung, sollten nicht geduldet werden.","Les familles qui ne s'occupent pas elles-mêmes de leurs propres enfants ne devraient pas bénéficier de déductions fiscales et cet objectif devrait être privilégié, mais ceux qui ont peu d'autres choix que l'assistance extra-conjugale ne devraient pas être tolérés.",9
77050,Êtes-vous favorable à l’adaptation des directives de l’aide sociale qui prévoit une réduction des prestations pour les familles nombreuses et les jeunes adultes?,La réduction des prestations est un des moyens pour éviter l'effet de seuil et redonner au travail salarié la priorité sur l'assistance.,FAVOR,fr,X-Stance,La réduction des prestations n'est pas un moyen pour éviter l'effet de seuil et redonner au travail salarié la priorité sur l'assistance.,"Die Reduzierung der Leistungen ist kein Mittel, um den Schwellenwert zu vermeiden und dem Lohnarbeit wieder Vorrang vor der Sozialhilfe einzuräumen.",La réduction des prestations n'est pas un moyen d'éviter le seuil de pauvreté et d'accorder à nouveau la priorité à l'emploi salarié par rapport à l'aide sociale.,9
28767,Une initiative demande que les subsides aux assurances maladie soient conçus de manière à ce que personne n'ait à consacrer plus de dix pour cent de son revenu disponible au paiement des primes. Soutenez-vous cette proposition?,C'est essentiel. Le système des subsides ne fonctionne plus à force de vouloir faire des économies.,FAVOR,fr,X-Stance,Les subsides aux assurances maladie devraient être conçus pour que personne n'ait à consacrer moins de dix pour cent de son revenu disponible au paiement des primes.,"Die Subventionen für Krankenversicherungen sollten so gestaltet sein, dass niemand weniger als zehn Prozent seines verfügbaren Einkommens für die Prämienzahlung aufwenden muss.",Les subventions pour les assurances maladie devraient être conçues de manière à ce que personne n'ait à dépenser moins de dix pour cent de son revenu disponible pour le paiement des primes.,9
71357,"À votre avis, l’application rigoureuse de l’initiative sur l’immigration de masse doit-elle avoir la priorité sur le maintien des accords bilatéraux conclus avec l’UE?",Si cela est juridiquement compatible avec la mise en oeuvre de l'initiative.,FAVOR,fr,X-Stance,"À mon avis, le maintien des accords bilatéraux conclus avec l'UE doit avoir la priorité sur l'application rigoureuse de l'initiative sur l'immigration de masse.",Meiner Meinung nach muss die Beibehaltung der bilateralen Abkommen mit der EU Vorrang vor der strikten Umsetzung der Masseneinwanderungsinitiative haben.,"A mon avis, la conservation des accords bilatéraux avec l'UE doit avoir la priorité sur la mise en œuvre stricte de l'initiative d'immigration massive.",9
71069,Les permis de séjour des migrants et migrantes non ressortissants des Etats membres de l’UE/AELE devraient-ils être obligatoirement liés au respect de la Convention d’intégration?,"Dans notre canton, il y a un tissu économique basé sur des ressortissants non UE/AELE, qui travaille notamment dans des multinationales, la banque et les organisations internationales et dont il faut tenir compte pour une telle politique.",AGAINST,fr,X-Stance,"Dans notre canton, il n'y a pas de tissu économique basé sur des ressortissants non UE/AELE, qui travaillent notamment dans des multinationales, la banque et les organisations internationales.","In unserem Kanton gibt es keine wirtschaftliche Struktur, die auf nicht-EU/EFTA-Staatsangehörigen basiert, die insbesondere in multinationalen Unternehmen, Banken und internationalen Organisationen arbeiten.","Dans notre canton, il n'y a pas de structure économique basée sur des ressortissants de pays tiers qui travaillent, en particulier, dans des entreprises multinationales, des banques et des organisations internationales.",9
42640,Êtes-vous en faveur de l'abaissement de l'âge de vote à 16 ans?,"Ce n'est pas une priorité mais on peut en parler, si la demande provient d'une majorité de jeunes",FAVOR,fr,X-Stance,"Ce n'est pas une priorité mais on peut en parler, si la demande provient d'une minorité de jeunes.","Das ist keine Priorität, aber man kann darüber sprechen, wenn die Nachfrage von einer Minderheit junger Menschen kommt.","Ce n'est pas une priorité, mais on peut en parler si la demande vient d'une minorité de jeunes.",9
40216,Êtes-vous favorable à l'acquisition de nouveaux avions de combat pour l'armée suisse?,"Plus que la simple acquisition de nouveaux avions de combat, il s'agit d'un véritable acte de souveraineté et implique un partenariat stratégique avec le pays fournisseur.",FAVOR,fr,X-Stance,"Plus que l'acquisition de nouveaux avions de combat, il s'agit d'un véritable acte de soumission et implique un partenariat stratégique avec le pays fournisseur.",Neben dem Erwerb neuer Kampfflugzeuge handelt es sich um einen echten Akt der Unterwerfung und impliziert eine strategische Partnerschaft mit dem Lieferland.,"En plus de l'acquisition de nouveaux avions de combat, il s'agit d'un véritable acte de soumission et implique une alliance stratégique avec le pays fournisseur.",9
18340,Approuveriez-vous le principe du consentement présumé pour le don d’organes?,"C'est une prouesse de savoir-faire et de technologie médicale et il est utile d'informer le public sur la possibilité de don, mais la dignité humaine (et donc le libre choix de chacun d'y consentir ou non) doit être placée plus haut dans l'échelle des valeurs.",AGAINST,fr,X-Stance,"C'est une prouesse de savoir-faire et de technologie médicale et il est inutile d'informer le public sur la possibilité de don, car la dignité humaine (et donc le libre choix de chacun d'y refuser) doit être placée plus haut dans l'échelle des valeurs.","Es ist eine Meisterleistung von Fachkenntnissen und medizinischer Technologie, und es ist unnötig, das Publikum über die Möglichkeit des Organspendeausweises zu informieren, da die menschliche Würde (und damit das freie Wahlrecht jedes Einzelnen, es zu verweigern) an erster Stelle auf der Werteskala stehen sollte.","C'est une prouesse de connaissances professionnelles et de technologie médicale, et il n'est pas nécessaire d'informer le public sur la possibilité d'un don d'organes, car la dignité humaine (et donc le libre choix de chacun de refuser) devrait être au premier plan dans la hiérarchie des valeurs.",9
74501,Seriez-vous favorable à ce que des prestations complémentaires pour les familles à faible revenu soient introduites à l’échelon national?,Nous devons soutenir les familles et plus particulièrement les familles dans le besoin,FAVOR,fr,X-Stance,Nous devons refuser les prestations complémentaires pour les familles à faible revenu.,Wir müssen die Zusatzleistungen für einkommensschwache Familien ablehnen.,Nous devons rejeter les prestations supplémentaires pour les familles à faible revenu.,9
91246,La protection contre le licenciement des travailleur-euse-s âgé-e-s (plus de 50 ans) doit-elle être renforcée?,Les méthodes de protection utilisées dans les pays alentours ne sont pas convaincantes. La préférence nationale et une maîtrise de l'immigration sont des alternatives plus efficaces.,FAVOR,fr,X-Stance,Les méthodes de protection utilisées dans notre pays sont convaincantes. La préférence nationale et une maîtrise de l'immigration sont des alternatives moins efficaces.,"Die Schutzmethoden, die in unserem Land verwendet werden, sind überzeugend. Nationale Vorlieben und eine Kontrolle der Einwanderung sind weniger effektive Alternativen.",Les méthodes de protection utilisées dans notre pays sont convaincantes. Les préférences nationales et la régulation de l'immigration sont des alternatives moins efficaces.,9
